"","gene","CpG_Associated","CpG_in_Gene","Enrichment_fromAverage","Suprise","Probe_ID","Chromosome_37","Coordinate_37","region","isoform","UCSC_CPG_ISLANDS_NAME","RELATION_TO_UCSC_CPG_ISLAND","corr_pval","db"
"27","PLOD2",3,21,0.836900664178019,3.58465482035018,"cg02802029","3",145879686,"promoter","1","chr3:145878430-145879287","S_Shore",0.100891634503958,-0.0710822068172867
"152","PLOD2",3,21,0.836900664178019,3.58465482035018,"cg15726045","3",145790097,"intragenic","1","","",0.125222430866633,-0.0629078450497108
"245","PLOD2",3,21,0.836900664178019,3.58465482035018,"cg24790788","3",145879626,"promoter","1","chr3:145878430-145879287","S_Shore",0.144720611813121,-0.0802640286230135
"56","ABCC13",2,16,0.637638601278491,3.1365729678064,"cg04985582","21",15645988,"promoter","1","","",0.0798237012365112,-0.0509159019856323
"179","ABCC13",2,16,0.637638601278491,3.1365729678064,"cg19211382","21",15645810,"promoter","1","","",0.135737141164864,-0.0515651047511962
"55","APOOP5",1,8,0.318819300639245,3.1365729678064,"cg04946709","16",59789030,"promoter","1","chr16:59788792-59789072","Island",0.17753205263561,-0.0555058635426796
"259","RANBP3L",1,8,0.318819300639245,3.1365729678064,"cg26511075","5",36301436,"intragenic","1","","",0.110746231813784,-0.219611474694591
"148","LOC728392",2,17,0.677491013858396,2.9520686755825,"cg15045292","17",5403149,"intragenic","1","chr17:5403131-5404602","Island",0.0599536054818315,-0.0609504652152238
"154","LOC728392",2,17,0.677491013858396,2.9520686755825,"cg15954353","17",5403337,"intragenic","1","chr17:5403131-5404602","Island",0.0688595561472524,-0.132480685087589
"166","BOD1L1",1,9,0.358671713219151,2.78806486027236,"cg17123569","4",13626623,"intragenic","1","chr4:13629245-13629655","N_Shelf",0.138762132759929,-0.0523284566973482
"231","CLEC7A",1,9,0.358671713219151,2.78806486027236,"cg23892568","12",10283049,"promoter","1","","",0.133951254776873,-0.0581229688737706
"34","GGTA1P",1,9,0.358671713219151,2.78806486027236,"cg03750367","9",124263631,"promoter","1","chr9:124261806-124262587","S_Shore",0.0796992187598257,-0.0638206794152331
"139","MYH13",1,9,0.358671713219151,2.78806486027236,"cg13984289","17",10220829,"intragenic","1","","",0.061215559328609,0.0867418920774961
"118","UAP1L1",1,9,0.358671713219151,2.78806486027236,"cg11611856","9",139973337,"intragenic","1","chr9:139971499-139973965","Island",0.142746109107461,-0.102434124069541
"63","CYP26B1",4,37,1.47453926545651,2.71271175594067,"cg05414442","2",72358024,"intragenic","1","","",0.172564855806177,-0.0500650006696016
"216","CYP26B1",4,37,1.47453926545651,2.71271175594067,"cg22540115","2",72371477,"intragenic","1","chr2:72371121-72375004","Island",0.0652279825265884,-0.0585039576665344
"219","CYP26B1",4,37,1.47453926545651,2.71271175594067,"cg22856324","2",72371255,"intragenic","1","chr2:72371121-72375004","Island",0.0565639460808721,-0.0689678757075594
"220","CYP26B1",4,37,1.47453926545651,2.71271175594067,"cg22979783","2",72371261,"intragenic","1","chr2:72371121-72375004","Island",0.0386590535299338,-0.0658749959933571
"205","TMEM105",2,19,0.757195839018208,2.64132460446855,"cg21735384","17",79304613,"promoter","1","","",0.126157594314094,-0.0542621811623093
"215","TMEM105",2,19,0.757195839018208,2.64132460446855,"cg22532155","17",79304683,"promoter","1","","",0.172471579599295,-0.0524007135506483
"85","HAUS6",1,10,0.398524125799057,2.50925837424512,"cg07664183","9",19103231,"promoter","1","chr9:19102470-19103110","S_Shore",0.105468721590578,0.0908069053575185
"94","LINC00229",1,10,0.398524125799057,2.50925837424512,"cg08627825","22",45016064,"intragenic","1","chr22:45015933-45016488","Island",0.0662475989322414,-0.0771818480254112
"156","PCK1",1,10,0.398524125799057,2.50925837424512,"cg16101800","20",56136569,"intragenic","1","","",0.0751752753929769,-0.0529712239231889
"138","STXBP1",1,10,0.398524125799057,2.50925837424512,"cg13885243","9",130377351,"intragenic","1","chr9:130374108-130374885","S_Shelf",0.13506738765779,-0.0676422897178547
"64","ZG16B",1,10,0.398524125799057,2.50925837424512,"cg05461841","16",2879944,"promoter","1","","",0.156773595753881,0.0783180637415861
"126","LOC283710",1,11,0.438376538378962,2.28114397658648,"cg12689679","15",31516316,"intragenic","1","","",0.0352969233956689,-0.0581633725243031
"40","MYH16",1,11,0.438376538378962,2.28114397658648,"cg03991188","7",98870835,"promoter","1","","",0.168105933403534,-0.069885396952402
"80","OR2B11",1,11,0.438376538378962,2.28114397658648,"cg07318145","1",247614654,"intragenic","1","chr1:247614695-247614944","N_Shore",0.116158386542547,-0.0528549534345745
"19","PRSS50",1,11,0.438376538378962,2.28114397658648,"cg01788113","3",46759472,"promoter","1","chr3:46759064-46759550","Island",0.0800718149869085,0.0542380027660846
"212","WBP2NL",1,12,0.478228950958868,2.09104864520427,"cg22189786","22",42395067,"intragenic","1","chr22:42394589-42395255","Island",0.0801061774615511,-0.0597850258703373
"45","LOC654433",2,25,0.996310314497642,2.0074066993961,"cg04345118","2",113995456,"intragenic","1","chr2:113993204-113994075","S_Shore",0.0574805551543783,-0.0514264443268241
"199","LOC654433",2,25,0.996310314497642,2.0074066993961,"cg21482265","2",113992762,"promoter","1","chr2:113993204-113994075","N_Shore",0.110658921845418,-0.0505923075087535
"173","AS3MT",1,13,0.518081363538774,1.93019874941933,"cg18534077","10",104628846,"promoter","1","chr10:104629038-104629479","N_Shore",0.107939451053854,-0.0538971539419577
"229","CCDC11",1,13,0.518081363538774,1.93019874941933,"cg23708717","18",47793175,"promoter","1","chr18:47794450-47794996","N_Shore",0.117062073120694,0.0535712794587272
"147","ITGB8",1,13,0.518081363538774,1.93019874941933,"cg14959425","7",20447707,"intragenic","1","","",0.163893792672256,-0.0585121273095605
"254","PARL",1,13,0.518081363538774,1.93019874941933,"cg25686905","3",183603175,"promoter","1","chr3:183602432-183602874","S_Shore",0.16683948007002,-0.0719598111282257
"151","SOST",1,13,0.518081363538774,1.93019874941933,"cg15596932","17",41836563,"promoter","1","chr17:41832717-41833195","S_Shelf",0.171151641884548,-0.0532969487860542
"62","TBC1D2",1,13,0.518081363538774,1.93019874941933,"cg05384198","9",101016191,"intragenic","2","chr9:101017382-101018581","N_Shore",0.195528029984118,-0.0536193055748211
"155","CLEC2L",1,14,0.557933776118679,1.79232741017509,"cg16033780","7",139211836,"intragenic","1","chr7:139208442-139209069","S_Shelf",0.194374690649978,-0.053176276513173
"227","CXCL14",1,14,0.557933776118679,1.79232741017509,"cg23510026","5",134915537,"promoter","1","chr5:134914178-134914981","S_Shore",0.145634353413525,-0.051092519354514
"22","FAM228A",1,14,0.557933776118679,1.79232741017509,"cg02315489","2",24398859,"intragenic","1","chr2:24397645-24398194","S_Shore",0.139923594905353,-0.0608355840726557
"25","FN3K",1,14,0.557933776118679,1.79232741017509,"cg02398342","17",80708632,"intragenic","1","chr17:80709052-80710843","N_Shore",0.0897742384780054,-0.0627483480598034
"103","SPAG11B",1,14,0.557933776118679,1.79232741017509,"cg09549987","8",7320532,"intragenic","1","","",0.0924613964011833,0.248653534124036
"3","CCNA1",5,74,2.94907853091302,1.69544484746292,"cg00370179","13",37005074,"promoter","1","chr13:37005581-37006453","N_Shore",0.194374690649978,0.0599161023799241
"167","CCNA1",5,74,2.94907853091302,1.69544484746292,"cg17215831","13",37004853,"promoter","1","chr13:37005581-37006453","N_Shore",0.176340316572523,0.0756495000453773
"203","CCNA1",5,74,2.94907853091302,1.69544484746292,"cg21587066","13",37004940,"promoter","1","chr13:37005581-37006453","N_Shore",0.186448700769606,0.0546398584004144
"206","CCNA1",5,74,2.94907853091302,1.69544484746292,"cg21754388","13",37004747,"promoter","1","chr13:37005581-37006453","N_Shore",0.054225073581651,0.0678076869198423
"258","CCNA1",5,74,2.94907853091302,1.69544484746292,"cg26345046","13",37004620,"promoter","1","chr13:37005581-37006453","N_Shore",0.14770837919871,0.0582946702431617
"253","CA4",1,15,0.597786188698585,1.67283891616342,"cg25577130","17",58226188,"promoter","1","chr17:58227241-58227720","N_Shore",0.089209383830716,-0.062058881613033
"48","KLC3",1,15,0.597786188698585,1.67283891616342,"cg04382643","19",45849853,"intragenic","1","chr19:45849852-45850054","Island",0.171789814384268,-0.0580955103014145
"1","LINC00472",1,15,0.597786188698585,1.67283891616342,"cg00201779","6",72131020,"promoter","1","chr6:72129508-72130756","S_Shore",0.197667034719282,-0.0872198252871995
"233","LOC650226",1,15,0.597786188698585,1.67283891616342,"cg23975887","7",56516504,"promoter","1","chr7:56515585-56515864","S_Shore",0.0431238332485645,-0.0662382239258712
"14","MUC4",4,63,2.51070199253406,1.59317992015563,"cg01310397","3",195490033,"intragenic","1","chr3:195488595-195489381","S_Shore",0.100496567704905,-0.0668965535585394
"136","MUC4",4,63,2.51070199253406,1.59317992015563,"cg13752114","3",195489708,"intragenic","1","chr3:195489669-195489943","Island",0.138617062617096,-0.0917426966802852
"158","MUC4",4,63,2.51070199253406,1.59317992015563,"cg16358155","3",195490169,"intragenic","1","chr3:195488595-195489381","S_Shore",0.15029118171891,-0.0574085284890002
"224","MUC4",4,63,2.51070199253406,1.59317992015563,"cg23170091","3",195490094,"intragenic","1","chr3:195488595-195489381","S_Shore",0.143550419312125,-0.0595886738961805
"190","C7orf25",1,16,0.637638601278491,1.5682864839032,"cg20210263","7",42952391,"promoter","1","chr7:42951216-42951905","S_Shore",0.0991065937306305,-0.125948310480263
"110","CDKL2",1,16,0.637638601278491,1.5682864839032,"cg10131286","4",76554724,"intragenic","1","chr4:76555366-76556079","N_Shore",0.165297066157816,-0.0537521515529826
"32","LOC100128993",1,16,0.637638601278491,1.5682864839032,"cg03610826","8",19098212,"intragenic","1","chr8:19094956-19095376","S_Shelf",0.121164257966562,-0.0560393904423573
"186","LOC728613",1,16,0.637638601278491,1.5682864839032,"cg19969650","5",1634502,"promoter","1","chr5:1633901-1634224","S_Shore",0.0518907230202203,-0.0610067267701458
"243","TMEM151B",1,16,0.637638601278491,1.5682864839032,"cg24652615","6",44243304,"intragenic","1","chr6:44243085-44244481","Island",0.192962926634598,-0.0523851136715469
"46","PAX8",2,33,1.31512961513689,1.52076265105765,"cg04345118","2",113995456,"intragenic","1","chr2:113993204-113994075","S_Shore",0.0574805551543783,-0.0514264443268241
"200","PAX8",2,33,1.31512961513689,1.52076265105765,"cg21482265","2",113992762,"intragenic","1","chr2:113993204-113994075","N_Shore",0.110658921845418,-0.0505923075087535
"201","C1orf226",1,17,0.677491013858396,1.47603433779125,"cg21547763","1",162351976,"intragenic","1","","",0.150291107567072,-0.0748125369405918
"191","EBPL",1,17,0.677491013858396,1.47603433779125,"cg20399252","13",50266227,"promoter","1","chr13:50265224-50265598","S_Shore",0.0775290285620174,0.103873972856214
"91","LIN7B",1,17,0.677491013858396,1.47603433779125,"cg08382737","19",49617001,"promoter","1","chr19:49617455-49618569","N_Shore",0.171452445791302,-0.0750696968318908
"176","LOXL3",1,17,0.677491013858396,1.47603433779125,"cg19148731","2",74780229,"intragenic","1","chr2:74781494-74782685","N_Shore",0.0429701787412159,-0.06033485406837
"51","SLC7A11",1,17,0.677491013858396,1.47603433779125,"cg04487857","4",139096540,"intragenic","1","","",0.146805784754134,-0.0505139002544955
"26","KIAA0930",4,71,2.8295212931733,1.41366668971556,"cg02541592","22",45608686,"intragenic","1","","",0.0804912213641613,-0.0516037398139627
"86","KIAA0930",4,71,2.8295212931733,1.41366668971556,"cg07795766","22",45608516,"intragenic","1","","",0.106929602275974,-0.0601297712324828
"146","KIAA0930",4,71,2.8295212931733,1.41366668971556,"cg14781778","22",45608692,"intragenic","1","","",0.0861846196129041,-0.0577038505635873
"187","KIAA0930",4,71,2.8295212931733,1.41366668971556,"cg20078807","22",45608713,"intragenic","1","","",0.0643793865554506,-0.0681323019680964
"21","ACVR2B-AS1",1,18,0.717343426438302,1.39403243013618,"cg01850202","3",38497793,"promoter","1","chr3:38495088-38497151","S_Shore",0.135823824755593,-0.0545316942630515
"76","CLNK",1,18,0.717343426438302,1.39403243013618,"cg06854306","4",10575210,"intragenic","1","","",0.0891245771006955,-0.0565034975981276
"23","BTNL8",1,19,0.757195839018208,1.32066230223428,"cg02352685","5",180377617,"three_plus","1","","",0.181648656121135,-0.0863972934272448
"168","DBX2",1,19,0.757195839018208,1.32066230223428,"cg17347348","12",45445864,"promoter","1","chr12:45444202-45445386","S_Shore",0.0724890688205201,-0.0544213365518512
"102","LMOD1",1,19,0.757195839018208,1.32066230223428,"cg09404633","1",201915446,"promoter","1","","",0.176889576586883,-0.0574438967337033
"175","LRRC8E",1,19,0.757195839018208,1.32066230223428,"cg19032797","19",7956056,"intragenic","1","chr19:7953280-7953708","S_Shelf",0.112837230582195,0.0500860046273296
"72","MAFA",1,19,0.757195839018208,1.32066230223428,"cg06187336","8",144513898,"promoter","1","chr8:144510850-144513957","Island",0.085051362256374,-0.0844552724473033
"77","MS4A15",1,19,0.757195839018208,1.32066230223428,"cg06968712","11",60534911,"intragenic","1","chr11:60534910-60535138","Island",0.0896061251637838,-0.0613997824845685
"70","STAT5B",1,19,0.757195839018208,1.32066230223428,"cg05891054","17",40380254,"intragenic","1","","",0.153194107507604,-0.0539640167257114
"123","TSC22D2",1,19,0.757195839018208,1.32066230223428,"cg12513140","3",150160121,"intragenic","1","","",0.189805331378045,-0.0673321723419393
"256","ZNF532",1,19,0.757195839018208,1.32066230223428,"cg26172016","18",56529149,"promoter","1","chr18:56530395-56531288","N_Shore",0.18357325866204,-0.0857632301093473
"11","NINJ2",2,39,1.55424409061632,1.28679916627955,"cg01201512","12",740338,"intragenic","1","","",0.130077522560558,0.0814061905655041
"261","NINJ2",2,39,1.55424409061632,1.28679916627955,"cg26654770","12",740100,"intragenic","1","","",0.18939699427178,0.0767141949483371
"16","CPVL",1,20,0.797048251598113,1.25462918712256,"cg01475952","7",29186629,"promoter","1","","",0.0703362090545691,-0.0657745582888389
"10","GOLIM4",1,20,0.797048251598113,1.25462918712256,"cg01196712","3",167812510,"intragenic","1","chr3:167812829-167814102","N_Shore",0.189898036210653,0.0541344584658261
"137","PLA2G4D",1,20,0.797048251598113,1.25462918712256,"cg13762474","15",42371808,"intragenic","1","chr15:42371634-42371842","Island",0.175556962806842,-0.0528590713940347
"38","SLC35E2B",2,40,1.59409650319623,1.25462918712256,"cg03972505","1",1602656,"intragenic","1","chr1:1602391-1602686","Island",0.174159312210181,-0.0702998238393895
"117","SLC35E2B",2,40,1.59409650319623,1.25462918712256,"cg11530028","1",1602585,"intragenic","1","chr1:1602391-1602686","Island",0.143288179579495,-0.0609313364058048
"2","TMEM26",1,20,0.797048251598113,1.25462918712256,"cg00360414","10",63213391,"promoter","1","chr10:63212495-63213009","S_Shore",0.165144862117415,-0.063285990080115
"43","RDH10",1,21,0.836900664178019,1.19488494011673,"cg04238758","8",74225117,"intragenic","1","","",0.174977342314149,-0.056964768409497
"223","SYCP2L",1,21,0.836900664178019,1.19488494011673,"cg23049448","6",10887980,"intragenic","1","chr6:10887184-10887622","S_Shore",0.0709262083064056,-0.0728419078438565
"20","ACVR2B",1,22,0.876753076757925,1.14057198829324,"cg01850202","3",38497793,"intragenic","1","chr3:38495088-38497151","S_Shore",0.135823824755593,-0.0545316942630515
"129","BLACAT1",1,22,0.876753076757925,1.14057198829324,"cg13061767","1",205418410,"intragenic","1","","",0.153152264934047,-0.0611472901932439
"270","PKD1L1",1,22,0.876753076757925,1.14057198829324,"cg27618305","7",47867025,"intragenic","1","","",0.061215559328609,-0.105292760119122
"157","DCBLD2",1,23,0.91660548933783,1.09098190184571,"cg16331862","3",98517048,"intragenic","1","","",0.151318068064996,-0.0619115681501547
"95","PEAR1",1,23,0.91660548933783,1.09098190184571,"cg08685714","1",156878191,"intragenic","1","chr1:156877769-156878649","Island",0.0722689708205546,-0.0684325751122101
"134","AIG1",1,24,0.956457901917736,1.04552432260213,"cg13609645","6",143555173,"intragenic","1","","",0.12581683958038,-0.0531167347062544
"60","C2orf61",1,24,0.956457901917736,1.04552432260213,"cg05291965","2",47382583,"promoter","1","","",0.149892204710501,-0.0538134951656131
"37","C19orf68",1,25,0.996310314497642,1.00370334969805,"cg03950599","19",48698419,"intragenic","1","chr19:48697900-48698669","Island",0.0646338889127721,-0.0500006253083256
"65","LOC728730",1,25,0.996310314497642,1.00370334969805,"cg05570109","2",39812572,"intragenic","1","","",0.102130044435462,0.124915894397731
"33","NKX2-3",1,25,0.996310314497642,1.00370334969805,"cg03711485","10",101296036,"three_plus","1","chr10:101294443-101297263","Island",0.187607943118929,-0.0645563480074177
"204","RAPGEF5",1,25,0.996310314497642,1.00370334969805,"cg21733013","7",22359568,"intragenic","1","","",0.0924613964011833,-0.0711770430506126
"217","WNT6",1,25,0.996310314497642,1.00370334969805,"cg22587479","2",219738226,"intragenic","1","chr2:219738081-219738788","Island",0.185703016068433,0.0564751776052216
"88","ELFN1",2,51,2.03247304157519,0.984022891860833,"cg07905119","7",1779084,"intragenic","1","","",0.0883210613448391,-0.0585511190726495
"128","ELFN1",2,51,2.03247304157519,0.984022891860833,"cg12946440","7",1753573,"intragenic","1","chr7:1753446-1753706","Island",0.196145633606163,-0.0553778209655464
"150","AMDHD1",1,26,1.03616272707755,0.965099374709663,"cg15351688","12",96350648,"intragenic","1","chr12:96350518-96350721","Island",0.165721062233063,-0.0605923542074661
"49","GJB2",1,26,1.03616272707755,0.965099374709663,"cg04452195","13",20762982,"intragenic","1","chr13:20766208-20767779","N_Shelf",0.0725401348635148,0.0594044682334691
"89","RIMS3",1,26,1.03616272707755,0.965099374709663,"cg07920414","1",41094365,"intragenic","1","","",0.107746049592887,-0.0960570514439714
"18","SH3RF1",1,26,1.03616272707755,0.965099374709663,"cg01642901","4",170190012,"intragenic","1","chr4:170191357-170192844","N_Shore",0.189420903757224,-0.0590205542618941
"164","SPG21",1,26,1.03616272707755,0.965099374709663,"cg16992257","15",65283128,"promoter","1","chr15:65281928-65282375","S_Shore",0.0869437080787431,-0.0536867906458844
"240","C3",1,27,1.07601513965745,0.92935495342412,"cg24476033","19",6710658,"intragenic","1","chr19:6710625-6710828","Island",0.180373886910931,0.0548375134476707
"237","EFR3A",1,27,1.07601513965745,0.92935495342412,"cg24184792","8",132919238,"intragenic","1","chr8:132916322-132917060","S_Shelf",0.135892576906965,0.0581243788832282
"108","MTMR7",1,27,1.07601513965745,0.92935495342412,"cg09984096","8",17195444,"intragenic","1","","",0.175228497767834,-0.0621225519753086
"99","SNX20",1,27,1.07601513965745,0.92935495342412,"cg09341491","16",50707795,"intragenic","1","chr16:50707291-50708041","Island",0.0762483778624022,-0.0514406813395062
"174","C10orf32-AS3MT",1,28,1.11586755223736,0.896163705087544,"cg18534077","10",104628846,"intragenic","1","chr10:104629038-104629479","N_Shore",0.107939451053854,-0.0538971539419577
"262","LSS",1,28,1.11586755223736,0.896163705087544,"cg26721908","21",47610096,"intragenic","1","","",0.124025709920815,0.0555783408682952
"144","SLC25A21",1,28,1.11586755223736,0.896163705087544,"cg14518555","14",37153891,"intragenic","1","","",0.199921903487385,-0.0600259555112868
"170","UBL5",1,28,1.11586755223736,0.896163705087544,"cg17704839","19",9939038,"intragenic","1","chr19:9938325-9938815","S_Shore",0.196987798474493,0.161438462429813
"160","APCDD1L",1,29,1.15571996481726,0.865261508360387,"cg16597728","20",57037440,"intragenic","1","chr20:57036303-57036605","S_Shore",0.176529112619216,-0.0517070435688937
"193","GPC5",1,29,1.15571996481726,0.865261508360387,"cg20647118","13",92051786,"intragenic","1","chr13:92051153-92051716","S_Shore",0.0856373169362494,-0.0656424664365348
"263","IL21R",1,29,1.15571996481726,0.865261508360387,"cg26727816","16",27413525,"promoter","1","","",0.0624565690960468,0.0835888475703085
"98","LOC285419",1,29,1.15571996481726,0.865261508360387,"cg08993690","4",124621838,"intragenic","1","","",0.145935234816027,-0.0523820163859852
"265","NID2",1,29,1.15571996481726,0.865261508360387,"cg26923084","14",52536893,"promoter","1","chr14:52534581-52536722","S_Shore",0.0921963263016169,-0.0662330697158386
"132","MLXIPL",1,30,1.19557237739717,0.836419458081708,"cg13337731","7",73011308,"intragenic","1","","",0.146469456987143,-0.0526865412893425
"184","SBDSP1",1,30,1.19557237739717,0.836419458081708,"cg19955956","7",72299837,"promoter","1","chr7:72299836-72300419","Island",0.188262584668716,0.0515170107500286
"257","SHISA4",1,30,1.19557237739717,0.836419458081708,"cg26203861","1",201858661,"intragenic","1","","",0.1134411725926,-0.055820698111369
"185","TYW1B",1,30,1.19557237739717,0.836419458081708,"cg19955956","7",72299837,"promoter","1","chr7:72299836-72300419","Island",0.188262584668716,0.0515170107500286
"68","PPP1R3B",1,32,1.27527720255698,0.784143241951601,"cg05806645","8",9009352,"promoter","1","chr8:9008058-9009353","Island",0.137360516894341,-0.0827351578685834
"197","RFC3",1,32,1.27527720255698,0.784143241951601,"cg21312482","13",34508792,"intragenic","1","","",0.171713102595239,-0.0826629723298851
"221","HOXA4",1,33,1.31512961513689,0.760381325528825,"cg22997113","7",27170241,"promoter","1","chr7:27169572-27170638","Island",0.131347521079392,-0.0553921497065225
"209","AKIP1",1,34,1.35498202771679,0.738017168895625,"cg21881798","11",8931708,"promoter","1","chr11:8932573-8933294","N_Shore",0.0519251394266109,-0.0820296711181503
"177","DOK1",1,34,1.35498202771679,0.738017168895625,"cg19148731","2",74780229,"intragenic","2","chr2:74781494-74782685","N_Shore",0.0429701787412159,-0.06033485406837
"59","ZNF608",1,34,1.35498202771679,0.738017168895625,"cg05134426","5",124080479,"intragenic","1","","",0.170750802211081,-0.0669241344490533
"268","FAM160B1",1,35,1.3948344402967,0.716930964070035,"cg27168638","10",116622684,"intragenic","1","","",0.164895153060482,-0.0505504227904152
"122","ZNF83",1,35,1.3948344402967,0.716930964070035,"cg12181730","19",53194699,"promoter","1","chr19:53193139-53193945","S_Shore",0.157377459910072,-0.0642045426259525
"71","EIF5",1,37,1.47453926545651,0.678177938985169,"cg05921913","14",103799021,"promoter","2","chr14:103799809-103801661","N_Shore",0.0614557382344289,-0.0615307413140244
"44","SGTA",1,37,1.47453926545651,0.678177938985169,"cg04330326","19",2770448,"intragenic","1","chr19:2772811-2773930","N_Shelf",0.0948208354775365,0.0546490701215759
"120","ZNF536",1,37,1.47453926545651,0.678177938985169,"cg11627582","19",30938273,"intragenic","1","chr19:30934822-30936626","S_Shore",0.125029710360584,-0.0626281914704314
"87","RNF216",1,38,1.51439167803642,0.660331151117138,"cg07899076","7",5675839,"intragenic","1","","",0.122198156196769,-0.103823406760008
"202","BMPR1B",1,39,1.55424409061632,0.643399583139775,"cg21574271","4",96051461,"intragenic","1","","",0.158494185701074,-0.0525081701932643
"109","CATSPER2",1,39,1.55424409061632,0.643399583139775,"cg10011062","15",43941034,"promoter","1","chr15:43940866-43941702","Island",0.169949538289006,0.0531627498020425
"208","NHLH2",1,39,1.55424409061632,0.643399583139775,"cg21863110","1",116380417,"intragenic","1","chr1:116380359-116382364","Island",0.178409596443036,-0.0569194794452063
"41","TTN-AS1",1,39,1.55424409061632,0.643399583139775,"cg04220104","2",179387853,"intragenic","1","","",0.186475715560168,0.0581971628506305
"78","EIF3B",1,40,1.59409650319623,0.627314593561281,"cg06995285","7",2418615,"intragenic","1","chr7:2419808-2420340","N_Shore",0.137079289896955,-0.065673945305371
"246","ESPNP",1,41,1.63394891577613,0.612014237620762,"cg24875017","1",17026258,"intragenic","1","chr1:17025923-17027942","Island",0.155529875717551,-0.0580865212227132
"207","TRIM15",2,82,3.26789783155226,0.612014237620762,"cg21856784","6",30131214,"promoter","1","","",0.146625442360692,-0.0576881511703043
"213","TRIM15",2,82,3.26789783155226,0.612014237620762,"cg22425467","6",30131189,"promoter","1","","",0.0942076827642768,-0.08106973507208
"9","TRIM71",1,41,1.63394891577613,0.612014237620762,"cg00997338","3",32862830,"intragenic","1","chr3:32863174-32863415","N_Shore",0.138897259737892,-0.0636631208464423
"5","EPHX1",1,42,1.67380132835604,0.597442470058363,"cg00501904","1",226001675,"intragenic","2","chr1:225997646-225998233","S_Shelf",0.132089691615022,-0.0504826699410421
"8","NDRG4",4,168,6.69520531342415,0.597442470058363,"cg00758881","16",58534681,"intragenic","1","chr16:58535040-58535596","N_Shore",0.127344512595006,-0.0644821293292971
