"","x"
"149","cg07053014"
"150","cg07072405"
"151","cg07077665"
"152","cg07173688"
"153","cg07177395"
"154","cg07180897"
"155","cg07382435"
"156","cg07390647"
"157","cg07450210"
"158","cg07505049"
"159","cg07599786"
"160","cg07721852"
"161","cg07761822"
"162","cg08023175"
"163","cg08062387"
"164","cg08066129"
"165","cg08111158"
"166","cg08173834"
"167","cg08200582"
"168","cg08202494"
"169","cg08204867"
"170","cg08204939"
"171","cg08241330"
"172","cg08262608"
"173","cg08308162"
"174","cg08316699"
"175","cg08439328"
"176","cg08527603"
"177","cg08765940"
"178","cg08794763"
"179","cg08883485"
"180","cg08884591"
"181","cg08893117"
"182","cg08943361"
"183","cg09055205"
"184","cg09056677"
"185","cg09127314"
"186","cg09128944"
"187","cg09133363"
"188","cg09414535"
"189","cg09577511"
"190","cg09592244"
"191","cg09619488"
"192","cg09620705"
"193","cg09663314"
"194","cg09753126"
"195","cg09846875"
"196","cg09851545"
"197","cg09872392"
"198","cg09938443"
"199","cg09957504"
"200","cg10054641"
"201","cg10187894"
"202","cg10278915"
"203","cg10360323"
"204","cg10448227"
"205","cg10456990"
"206","cg10492836"
"207","cg10503992"
"208","cg10519140"
"209","cg10581375"
"210","cg10730435"
"211","cg10906669"
"212","cg10920316"
"213","cg10934807"
"214","cg10972897"
"215","cg11015768"
"216","cg11041239"
"217","cg11087128"
"218","cg11179621"
"219","cg11196529"
"220","cg11229771"
"221","cg11256152"
"222","cg11372818"
"223","cg11452354"
"224","cg11468993"
"225","cg11491537"
"226","cg11511795"
"227","cg11586189"
"228","cg11750736"
"229","cg11916478"
"230","cg11964308"
"231","cg11994115"
"232","cg12069151"
"233","cg12150784"
"234","cg12194596"
"235","cg12545882"
"236","cg12552293"
"237","cg12593021"
"238","cg12595401"
"239","cg12623302"
"240","cg12707346"
"241","cg12729166"
"242","cg12731671"
"243","cg12734023"
"244","cg12857945"
"245","cg12950816"
"246","cg13053082"
"247","cg13057663"
"248","cg13301582"
"249","cg13355032"
"250","cg13413384"
"251","cg13468624"
"252","cg13583272"
"253","cg13587180"
"254","cg13704680"
"255","cg13793145"
"256","cg13808145"
"257","cg13830619"
"258","cg13945148"
"259","cg13951223"
"260","cg13974394"
"261","cg13976375"
"262","cg14003231"
"263","cg14062261"
"264","cg14193825"
"265","cg14227056"
"266","cg14321777"
"267","cg14394451"
"268","cg14451382"
"269","cg14463412"
"270","cg14481469"
"271","cg14512870"
"272","cg14575076"
"273","cg14575656"
"274","cg14628914"
"275","cg14634918"
"276","cg14717906"
"277","cg14788046"
"278","cg14900909"
"279","cg14913777"
"280","cg15027294"
"281","cg15108490"
"282","cg15112923"
"283","cg15129052"
"284","cg15196147"
"285","cg15246805"
"286","cg15331781"
"287","cg15495966"
"288","cg15591803"
"289","cg15609373"
"290","cg15654264"
"291","cg15720089"
"292","cg15736994"
"293","cg15928398"
"294","cg15997611"
"295","cg16044109"
"296","cg16054651"
"297","cg16207263"
"298","cg16537292"
"299","cg16538531"
"300","cg16561392"
"301","cg16580982"
"302","cg16586594"
"303","cg16669395"
"304","cg16675581"
"305","cg16717549"
"306","cg16746576"
"307","cg16809460"
"308","cg16814786"
"309","cg16842187"
"310","cg16940012"
"311","cg16975863"
"312","cg17123639"
"313","cg17217296"
"314","cg17299456"
"315","cg17309904"
"316","cg17339488"
"317","cg17369694"
"318","cg17397364"
"319","cg17507887"
"320","cg17530030"
"321","cg17552714"
"322","cg17583432"
"323","cg17632375"
"324","cg17775713"
"325","cg17987112"
"326","cg18013789"
"327","cg18171855"
"328","cg18174881"
"329","cg18205883"
"330","cg18250453"
"331","cg18267124"
"332","cg18297797"
"333","cg18333337"
"334","cg18358020"
"335","cg18429048"
"336","cg18560936"
"337","cg18566883"
"338","cg18596369"
"339","cg18644286"
"340","cg18648917"
"341","cg18755531"
"342","cg18758559"
"343","cg18765753"
"344","cg18771184"
"345","cg18802368"
"346","cg18805066"
"347","cg18862566"
"348","cg18959207"
"349","cg19131647"
"350","cg19346084"
"351","cg19460792"
"352","cg19485103"
"353","cg19498960"
"354","cg19529551"
"355","cg19541916"
"356","cg19546057"
"357","cg19558802"
"358","cg19593009"
"359","cg19656950"
"360","cg19674178"
"361","cg19712652"
"362","cg19758969"
"363","cg19766624"
"364","cg19876987"
"365","cg19889795"
"366","cg20023898"
"367","cg20111980"
"368","cg20487608"
"369","cg20522398"
"370","cg20585841"
"371","cg20594809"
"372","cg20595457"
"373","cg20656587"
"374","cg20863321"
"375","cg20920097"
"376","cg21018997"
"377","cg21055528"
"378","cg21073930"
"379","cg21084674"
"380","cg21127597"
"381","cg21280320"
"382","cg21402265"
"383","cg21436520"
"384","cg21697851"
"385","cg21706701"
"386","cg21807522"
"387","cg21849812"
"388","cg21858320"
"389","cg21862353"
"390","cg22120395"
"391","cg22289831"
"392","cg22343728"
"393","cg22356839"
"394","cg22430985"
"395","cg22459517"
"396","cg22511455"
"397","cg22524061"
"398","cg22550299"
"399","cg22588983"
"400","cg22622328"
"401","cg22627293"
"402","cg22695351"
"403","cg22783327"
"404","cg22945467"
"405","cg22956205"
"406","cg23013473"
"407","cg23029474"
"408","cg23143210"
"409","cg23217419"
"410","cg23322676"
"411","cg23340218"
"412","cg23371680"
"413","cg23483530"
"414","cg23499126"
"415","cg23549331"
"416","cg23549385"
"417","cg23616097"
"418","cg23634134"
"419","cg23708337"
"420","cg23709172"
"421","cg23797887"
"422","cg23804921"
"423","cg23945952"
"424","cg24005169"
"425","cg24035299"
"426","cg24283019"
"427","cg24334149"
"428","cg24354818"
"429","cg24366557"
"430","cg24414363"
"431","cg24488739"
"432","cg24516901"
"433","cg24544986"
"434","cg24548564"
"435","cg24575275"
"436","cg24590708"
"437","cg24659037"
"438","cg24757926"
"439","cg24775616"
"440","cg24951335"
"441","cg25075684"
"442","cg25112641"
"443","cg25201511"
"444","cg25249728"
"445","cg25269756"
"446","cg25281186"
"447","cg25336874"
"448","cg25436886"
"449","cg25446061"
"450","cg25510838"
"451","cg25630384"
"452","cg25653204"
"453","cg25771730"
"454","cg25779935"
"455","cg25812683"
"456","cg25845203"
"457","cg25889427"
"458","cg26058289"
"459","cg26070874"
"460","cg26102819"
"461","cg26129545"
"462","cg26132493"
"463","cg26250449"
"464","cg26258213"
"465","cg26277026"
"466","cg26312807"
"467","cg26411522"
"468","cg26466773"
"469","cg26472326"
"470","cg26478215"
"471","cg26520847"
"472","cg26585701"
"473","cg26589669"
"474","cg26708220"
"475","cg26804381"
"476","cg26814100"
"477","cg26834418"
"478","cg26990380"
"479","cg27057329"
"480","cg27078824"
"481","cg27135163"
"482","cg27149937"
"483","cg27316811"
"484","cg27452922"
"485","cg27480913"
"486","cg27532938"
"487","cg27620176"
"488","cg27662246"
